Generic_Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (Common),Side Effects (Rare),Similar Drugs,Prescription or OTC
Diphenoxylate,Lomotil,,,,,,Diarrhea (with atropine),"Constipation, drowsiness","Toxic megacolon, dependence","Loperamide, Atropine",Prescription
Dirithromycin,Dynabac,,,,,,"Respiratory infections (macrolide antibiotic, withdrawn in U.S.)","Nausea, diarrhea","Hepatotoxicity, QT prolongation","Azithromycin, Clarithromycin",Prescription
Disopyramide,Norpace,,,,,,Ventricular arrhythmias,"Dry mouth, constipation","QT prolongation, heart failure exacerbation","Procainamide, Quinidine",Prescription
Disulfiram,Antabuse,,,,,,Alcohol dependence (deterrent therapy),"Headache, metallic taste","Hepatitis, neuropathy","Naltrexone, Acamprosate",Prescription
Dobutamine,Dobutrex,,,,,,"Acute decompensated heart failure, cardiogenic shock","Tachycardia, hypertension","Arrhythmias, myocardial ischemia","Dopamine, Milrinone",Prescription
Docetaxel,Taxotere,,,,,,"Breast, lung, prostate, and gastric cancers","Fluid retention, neutropenia","Neuropathy, hypersensitivity","Paclitaxel, Cabazitaxel",Prescription
Dofetilide,Tikosyn,,,,,,Atrial fibrillation/flutter (rhythm control),"Headache, dizziness","Torsades de pointes, QT prolongation","Amiodarone, Sotalol",Prescription
Dolasetron,Anzemet,,,,,,Chemotherapy-induced nausea and vomiting,"Headache, fatigue","QT prolongation, bradycardia","Ondansetron, Granisetron",Prescription
Donepezil,Aricept,,,,,,Alzheimer’s disease,"Nausea, insomnia","Bradycardia, GI bleeding","Rivastigmine, Galantamine",Prescription
Dopamine,Intropin,,,,,,"Shock, heart failure (to maintain BP and renal perfusion)","Tachycardia, headache","Arrhythmias, tissue necrosis (extravasation)","Dobutamine, Norepinephrine",Prescription
Dorzolamide,Trusopt,,,,,,Glaucoma (reduces intraocular pressure),"Eye burning, bitter taste","Corneal edema, allergic conjunctivitis","Brinzolamide, Timolol",Prescription
Dosulepin,Prothiaden,,,,,,Depression and anxiety disorders (not approved in U.S.),"Drowsiness, dry mouth","Arrhythmias, seizures","Amitriptyline, Doxepin",Prescription
Doxacurium,Nuromax,,,,,,Neuromuscular blockade (long-acting),"Prolonged paralysis, hypotension","Histamine release, bronchospasm","Pancuronium, Vecuronium",Prescription
Doxazosin,Cardura,,,,,,"Hypertension, benign prostatic hyperplasia (BPH)","Dizziness, fatigue","Syncope, orthostatic hypotension","Tamsulosin, Terazosin",Prescription
Doxorubicin,Adriamycin,,,,,,"Various cancers (breast, lymphoma, leukemia)","Nausea, alopecia, myelosuppression","Cardiotoxicity, extravasation injury","Epirubicin, Daunorubicin",Prescription
Dronedarone,Multaq,,,,,,Atrial fibrillation/flutter (rhythm control),"Diarrhea, nausea","Liver failure, heart failure exacerbation","Amiodarone, Sotalol",Prescription
Droperidol,Inapsine,,,,,,Nausea/vomiting prevention; antipsychotic use in emergencies,"Drowsiness, hypotension","QT prolongation, arrhythmias","Haloperidol, Ondansetron",Prescription
Duloxetine,Cymbalta,,,,,,"Depression, anxiety, neuropathic pain, fibromyalgia","Nausea, dry mouth, fatigue","Liver toxicity, serotonin syndrome","Venlafaxine, Amitriptyline",Prescription
Dutasteride,Avodart,,,,,,Benign prostatic hyperplasia (BPH),"Decreased libido, impotence","Breast tenderness, angioedema","Finasteride, Tamsulosin",Prescription
Econazole,Spectazole,,,,,,"Topical fungal infections (tinea, candidiasis)","Burning, redness","Contact dermatitis, rash","Clotrimazole, Miconazole",Prescription
Eculizumab,Soliris,,,,,,"Paroxysmal nocturnal hemoglobinuria, atypical HUS","Headache, nasopharyngitis","Meningococcal infection, infusion reactions",Ravulizumab,Prescription
Edoxaban,Savaysa,,,,,,"Stroke prevention in atrial fibrillation, DVT/PE","Bleeding, rash","Liver injury, spinal hematoma","Apixaban, Rivaroxaban",Prescription
Efavirenz,Sustiva,,,,,,HIV-1 infection (NNRTI class),"Rash, dizziness, vivid dreams","Depression, hepatotoxicity","Rilpivirine, Nevirapine",Prescription
Efinaconazole,Jublia,,,,,,Onychomycosis (topical antifungal),"Ingrown toenail, application site irritation","Dermatitis, blistering","Ciclopirox, Tavaborole",Prescription
Eflornithine,Vaniqa,,,,,,Unwanted facial hair in women (hirsutism),"Skin irritation, burning","Acne, folliculitis","Spironolactone (off-label), Laser therapy",Prescription
Eletriptan,Relpax,,,,,,Acute treatment of migraine headaches,"Dizziness, drowsiness","Serotonin syndrome, hypertension","Sumatriptan, Rizatriptan",Prescription
Elmiron,Elmiron,,,,,,Interstitial cystitis/bladder pain syndrome,"Nausea, diarrhea",Retinal pigmentary changes,"Pentosan polysulfate (only brand), Amitriptyline",Prescription
Eltrombopag,Promacta,,,,,,"Thrombocytopenia in chronic ITP, aplastic anemia, hepatitis C","Nausea, fatigue","Hepatotoxicity, thromboembolism","Romiplostim, Avatrombopag",Prescription
Enoxaparin,Lovenox,,,,,,DVT/PE prevention and treatment,"Bleeding, injection site reaction","Thrombocytopenia, spinal hematoma","Dalteparin, Fondaparinux",Prescription
Ensulizole,— (sunscreen agent),,,,,,UVB protection in sunscreens,Skin irritation,Allergic reactions (rare),"Avobenzone, Octinoxate",OTC
Entacapone,Comtan,,,,,,Adjunct to levodopa/carbidopa in Parkinson’s disease,"Diarrhea, urine discoloration","Rhabdomyolysis, hallucinations","Tolcapone, Rasagiline",Prescription
Entecavir,Baraclude,,,,,,Chronic hepatitis B infection,"Headache, fatigue","Lactic acidosis, hepatomegaly","Tenofovir, Lamivudine",Prescription
Ephedrine,Akovaz,,,,,,"Hypotension, nasal congestion (off-label stimulant use)","Nervousness, insomnia","Hypertension, arrhythmia","Phenylephrine, Pseudoephedrine",Prescription
Epinastine,Elestat,,,,,,Allergic conjunctivitis,"Burning, stinging","Eye irritation, dry eyes","Olopatadine, Ketotifen",Prescription
Epirubicin,Ellence,,,,,,Breast cancer (adjuvant therapy),"Nausea, myelosuppression","Cardiotoxicity, extravasation","Doxorubicin, Idarubicin",Prescription
Eplerenone,Inspra,,,,,,"Hypertension, heart failure (post-MI)","Hyperkalemia, dizziness","Gynecomastia, renal dysfunction","Spironolactone, Losartan",Prescription
Eprosartan,Teveten,,,,,,Hypertension,"Dizziness, fatigue","Hyperkalemia, renal impairment","Losartan, Valsartan",Prescription
Eptifibatide,Integrilin,,,,,,Acute coronary syndrome (antiplatelet agent),"Bleeding, hypotension","Thrombocytopenia, intracranial hemorrhage","Abciximab, Tirofiban",Prescription
Erbium chloride,– (laser use only),,,,,,Used in laser skin resurfacing procedures,"Skin redness, swelling (procedure-related)","Infection, scarring","CO₂ laser, Fractional lasers",N/A (Procedure)
Erdafitinib,Balversa,,,,,,Locally advanced/metastatic bladder cancer with FGFR alterations,"Hyperphosphatemia, dry mouth","Eye toxicity, retinal disorders","Infigratinib, Pemigatinib",Prescription
Ertapenem,Invanz,,,,,,"Intra-abdominal infections, skin infections, community-acquired pneumonia","Diarrhea, nausea","Seizures, C. difficile colitis","Meropenem, Imipenem",Prescription
Escitalopram,Lexapro,,,,,,"Depression, generalized anxiety disorder","Nausea, insomnia","QT prolongation, serotonin syndrome","Citalopram, Sertraline",Prescription
Esmolol,Brevibloc,,,,,,"Supraventricular tachycardia, perioperative hypertension","Hypotension, dizziness","Heart block, bronchospasm","Labetalol, Metoprolol",Prescription
Esomeprazole,Nexium,,,,,,"GERD, peptic ulcers, Zollinger-Ellison syndrome","Headache, diarrhea","Hypomagnesemia, C. difficile colitis","Omeprazole, Pantoprazole",Prescription
Estramustine,Emcyt,,,,,,Prostate cancer (hormonal chemotherapy),"Nausea, gynecomastia","Thromboembolism, hepatotoxicity","Bicalutamide, Leuprolide",Prescription
Eszopiclone,Lunesta,,,,,,Insomnia,"Drowsiness, dry mouth","Complex sleep behaviors (e.g., sleep-driving)","Zolpidem, Zaleplon",Prescription
Etacrynic acid,Edecrin,,,,,,"Edema (loop diuretic, used in sulfa-allergic patients)","Hypokalemia, dizziness","Ototoxicity, electrolyte imbalance","Furosemide, Bumetanide",Prescription
Etanercept,Enbrel,,,,,,"Rheumatoid arthritis, psoriasis, ankylosing spondylitis","Injection site reaction, infections","TB reactivation, demyelinating disease","Adalimumab, Infliximab",Prescription
Ethacrynate sodium,Sodium Edecrin,,,,,,Alternative IV form of etacrynic acid,Same as etacrynic acid,Same as etacrynic acid,"Torsemide, Furosemide",Prescription
Ethambutol,Myambutol,,,,,,Tuberculosis (part of multi-drug regimen),"Optic neuritis, rash","Vision loss, gout","Isoniazid, Rifampin",Prescription
Ethionamide,Trecator,,,,,,Tuberculosis (second-line agent),"Nausea, metallic taste","Hepatitis, peripheral neuropathy","Isoniazid, Cycloserine",Prescription
Ethosuximide,Zarontin,,,,,,Absence seizures,"Nausea, dizziness","Blood dyscrasias, lupus-like syndrome","Valproic acid, Lamotrigine",Prescription
Etravirine,Intelence,,,,,,HIV-1 infection (NNRTI class),"Rash, nausea","Hypersensitivity, hepatotoxicity","Efavirenz, Rilpivirine",Prescription
Exemestane,Aromasin,,,,,,Hormone-receptor-positive breast cancer (postmenopausal women),"Hot flashes, fatigue","Osteoporosis, hepatotoxicity","Letrozole, Anastrozole",Prescription
Ezetimibe,Zetia,,,,,,Hyperlipidemia (often with statin),"Diarrhea, fatigue","Myopathy, elevated liver enzymes",Simvastatin + Ezetimibe (Vytorin),Prescription
Famciclovir,Famvir,,,,,,"Herpes zoster, genital herpes","Headache, nausea","Hallucinations (elderly), rash","Acyclovir, Valacyclovir",Prescription
Famotidine,Pepcid,,,,,,"GERD, ulcers, dyspepsia","Headache, constipation","Arrhythmias, confusion (rare)","Ranitidine, Cimetidine",Prescription
Febuxostat,Uloric,,,,,,Chronic management of hyperuricemia in gout,"Rash, nausea",Cardiovascular events (boxed warning),Allopurinol,Prescription
Felbamate,Felbatol,,,,,,"Epilepsy (LGS, partial seizures) – last resort due to risk","Anorexia, insomnia","Aplastic anemia, liver failure","Lamotrigine, Topiramate",Prescription
Felodipine,Plendil,,,,,,Hypertension,"Edema, headache","Gingival hyperplasia, tachycardia","Amlodipine, Nifedipine",Prescription
Fenoldopam,Corlopam,,,,,,Hypertensive emergencies (IV use),"Headache, flushing",Increased intraocular pressure,"Nitroprusside, Nicardipine",Prescription
Fesoterodine,Toviaz,,,,,,Overactive bladder,"Dry mouth, constipation","Urinary retention, blurred vision","Tolterodine, Oxybutynin",Prescription
Fexofenadine,Allegra,,,,,,"Allergic rhinitis, chronic urticaria","Headache, drowsiness (minimal)","Allergic reaction, dysmenorrhea","Loratadine, Cetirizine",Prescription
Fidaxomicin,Dificid,,,,,,C. difficile-associated diarrhea,"Nausea, GI upset","GI hemorrhage, neutropenia","Vancomycin (oral), Metronidazole",Prescription
Finerenone,Kerendia,,,,,,CKD in type 2 diabetes,"Hyperkalemia, hypotension",Kidney function decline,"Spironolactone, Eplerenone",Prescription
Flecainide,Tambocor,,,,,,Supraventricular arrhythmias,"Dizziness, visual disturbances","Proarrhythmia, heart block","Propafenone, Amiodarone",Prescription
Floctafenine,Idarac (withdrawn),,,,,,Pain relief (NSAID; withdrawn in many countries),"GI upset, rash","Anaphylaxis, renal issues","Ibuprofen, Diclofenac",Prescription
Fluconazole,Diflucan,,,,,,"Fungal infections: candidiasis, cryptococcal meningitis","Nausea, abdominal pain","Hepatotoxicity, QT prolongation","Itraconazole, Voriconazole",Prescription
Flucytosine,Ancobon,,,,,,Serious fungal infections (with amphotericin B),"GI upset, diarrhea",Bone marrow suppression,"Amphotericin B, Fluconazole",Prescription
Fludarabine,Fludara,,,,,,Chronic lymphocytic leukemia (CLL),"Fatigue, nausea","Myelosuppression, neurotoxicity","Bendamustine, Rituximab",Prescription
Fludrocortisone,Florinef,,,,,,"Adrenal insufficiency, orthostatic hypotension","Hypertension, edema","Heart failure, hypokalemia","Hydrocortisone, Prednisone",Prescription
Flumazenil,Romazicon,,,,,,Benzodiazepine overdose reversal,"Dizziness, injection site pain",Seizures (esp. in chronic BZD users),"Naloxone (opioids), Physostigmine",Prescription
Flunisolide,Aerospan,,,,,,Asthma (inhaled corticosteroid),"Throat irritation, hoarseness","Oral candidiasis, adrenal suppression","Budesonide, Beclomethasone",Prescription
Fluphenazine,Prolixin,,,,,,Schizophrenia (typical antipsychotic),"Drowsiness, extrapyramidal symptoms","Tardive dyskinesia, neuroleptic malignant syndrome","Haloperidol, Chlorpromazine",Prescription
Flurandrenolide,Cordran,,,,,,Inflammatory/pruritic dermatoses,"Burning, dryness","Skin atrophy, adrenal suppression","Hydrocortisone, Fluocinolone",Prescription
Flurazepam,Dalmane,,,,,,Insomnia,"Drowsiness, dizziness","Dependence, cognitive impairment","Temazepam, Diazepam",Prescription
Flutamide,Eulexin,,,,,,Prostate cancer (antiandrogen),"Gynecomastia, diarrhea","Hepatotoxicity, anemia","Bicalutamide, Nilutamide",Prescription
Fluvastatin,Lescol,,,,,,"Hyperlipidemia, prevention of CV events","Headache, GI upset","Rhabdomyolysis, liver dysfunction","Atorvastatin, Simvastatin",Prescription
Fluvoxamine,Luvox,,,,,,"OCD, depression","Nausea, insomnia, dry mouth","Serotonin syndrome, SIADH","Fluoxetine, Paroxetine",Prescription
Follitropin alfa,Gonal-f,,,,,,"Ovulation induction, male infertility","Ovarian enlargement, headache",Ovarian hyperstimulation syndrome,"Menotropins, Urofollitropin",Prescription
Fondaparinux,Arixtra,,,,,,DVT/PE prevention and treatment,"Bleeding, injection site reactions","Thrombocytopenia, spinal hematoma","Enoxaparin, Dalteparin",Prescription
Fosamprenavir,Lexiva,,,,,,HIV-1 infection (protease inhibitor),"Rash, nausea","Hepatotoxicity, Stevens-Johnson syndrome","Atazanavir, Darunavir",Prescription
Foscarnet,Foscavir,,,,,,"CMV retinitis in AIDS, acyclovir-resistant HSV","Electrolyte imbalance, nephrotoxicity","Seizures, genital ulceration","Ganciclovir, Cidofovir",Prescription
Fosinopril,Monopril,,,,,,"Hypertension, heart failure","Cough, dizziness","Angioedema, hyperkalemia","Enalapril, Lisinopril",Prescription
Fosphenytoin,Cerebyx,,,,,,Status epilepticus (IV); seizures (prodrug of phenytoin),"Dizziness, ataxia","Cardiac arrhythmias, hypotension","Phenytoin, Levetiracetam",Prescription
Frovatriptan,Frova,,,,,,Acute treatment of migraine,"Dizziness, fatigue","Chest pain, serotonin syndrome","Sumatriptan, Rizatriptan",Prescription
Fulvestrant,Faslodex,,,,,,Hormone receptor-positive breast cancer (postmenopausal),"Injection site pain, fatigue","Thromboembolism, liver dysfunction","Tamoxifen, Anastrozole",Prescription
Furosemide,Lasix,,,,,,"Edema, heart failure, hypertension","Hypokalemia, increased urination","Ototoxicity, electrolyte imbalance","Torsemide, Bumetanide",Prescription
Galantamine,Razadyne,,,,,,Alzheimer’s disease,"Nausea, vomiting","Bradycardia, syncope","Donepezil, Rivastigmine",Prescription
Ganciclovir,Cytovene,,,,,,CMV infections in immunocompromised patients,"Neutropenia, anemia","Seizures, renal toxicity","Valganciclovir, Foscarnet",Prescription
Ganirelix,Antagon,,,,,,Inhibition of premature LH surges during IVF cycles,"Headache, abdominal pain","Ovarian hyperstimulation, allergic reaction","Leuprolide, Cetrorelix",Prescription
Gefitinib,Iressa,,,,,,Non-small cell lung cancer with EGFR mutations,"Diarrhea, rash","Interstitial lung disease, liver toxicity","Erlotinib, Osimertinib",Prescription
Gemcitabine,Gemzar,,,,,,"Pancreatic, lung, breast, and ovarian cancers","Nausea, myelosuppression","Pulmonary toxicity, hemolytic-uremic syndrome","Cisplatin, Paclitaxel",Prescription
Gemfibrozil,Lopid,,,,,,"Hypertriglyceridemia, mixed dyslipidemia","Dyspepsia, abdominal pain","Myopathy (esp. with statins), gallstones","Fenofibrate, Niacin",Prescription
Gemifloxacin,Factive,,,,,,"Acute bacterial exacerbation of chronic bronchitis, CAP","Diarrhea, rash","QT prolongation, tendon rupture","Levofloxacin, Moxifloxacin",Prescription
Gentamicin,Garamycin,,,,,,Severe gram-negative infections,"Nephrotoxicity, ototoxicity","Neuromuscular blockade, vestibular dysfunction","Tobramycin, Amikacin",Prescription
Gimeracil,(part of Teysuno),,,,,,Enhances 5-FU by inhibiting degradation (combo with tegafur),"Diarrhea, neutropenia","Mucositis, elevated liver enzymes",Leucovorin (similar enhancer role),Prescription
Glecaprevir/pibrentasvir,Mavyret,,,,,,Chronic HCV infection (pan-genotypic),"Headache, fatigue",Hepatic decompensation (rare),Sofosbuvir/Velpatasvir,Prescription
Gliclazide,Diamicron,,,,,,Type 2 diabetes (not approved in U.S.),"Hypoglycemia, weight gain","Agranulocytosis, liver dysfunction","Glipizide, Glyburide",Prescription
Glimepiride,Amaryl,,,,,,Type 2 diabetes,"Hypoglycemia, dizziness","Cholestatic jaundice, hematologic reactions","Glipizide, Gliclazide",Prescription
Glipizide,Glucotrol,,,,,,Type 2 diabetes,"Hypoglycemia, GI upset","Thrombocytopenia, allergic skin reactions","Glyburide, Glimepiride",Prescription
Golimumab,Simponi,,,,,,"Rheumatoid arthritis, UC, psoriatic arthritis","Injection site reaction, upper respiratory infections","Serious infections, TB reactivation","Adalimumab, Etanercept",Prescription
Gonadorelin,Factrel,,,,,,Diagnostic use for LH/FSH secretion; hypothalamic amenorrhea,"Headache, hot flashes","Ovarian cysts, hypersensitivity","Leuprolide, Nafarelin",Prescription
Goserelin,Zoladex,,,,,,"Prostate & breast cancer, endometriosis","Hot flashes, decreased libido","Tumor flare, bone thinning","Leuprolide, Triptorelin",Prescription
Guanidine,—,,,,,,Rarely used: myasthenic syndrome (Lambert-Eaton); investigational,"GI upset, dizziness","Leukopenia, blood dyscrasias",Pyridostigmine,Prescription
Halcinonide,Halog,,,,,,High-potency topical corticosteroid for inflammatory skin conditions,"Burning, itching","Skin thinning, adrenal suppression","Fluocinonide, Clobetasol",Prescription
Halofantrine,Halfan,,,,,,Malaria (rare use; resistance & toxicity concerns),"GI upset, headache","QT prolongation, cardiotoxicity","Artemether-lumefantrine, Quinine",Prescription
Haloperidol,Haldol,,,,,,"Schizophrenia, acute agitation, delirium","Extrapyramidal symptoms, drowsiness","Tardive dyskinesia, neuroleptic malignant syndrome","Risperidone, Fluphenazine",Prescription
Halothane,Fluothane,,,,,,General anesthesia (no longer commonly used),"Hypotension, bradycardia","Hepatitis (halothane hepatitis), arrhythmia","Isoflurane, Sevoflurane",Prescription
Heparin,—,,,,,,"Anticoagulation for DVT/PE, ACS, dialysis","Bleeding, thrombocytopenia","HIT (heparin-induced thrombocytopenia), osteoporosis","Enoxaparin, Fondaparinux",Prescription
Hydralazine,Apresoline,,,,,,"Hypertension, heart failure (especially in Black patients when combined)","Headache, flushing","Drug-induced lupus, tachycardia","Minoxidil, Isosorbide dinitrate",Prescription
Griseofulvin,Gris-PEG,,,,,,"Fungal infections of the skin, hair, and nails","GI upset, headache","Hepatotoxicity, leukopenia","Terbinafine, Itraconazole",Prescription
Guanidine,–,,,,,,Myasthenia gravis (historical use),"GI upset, dizziness","Pancytopenia, cardiotoxicity","Pyridostigmine, Edrophonium",Prescription
Halcinonide,Halog,,,,,,Inflammatory skin conditions,"Burning, skin irritation","Skin atrophy, hypopigmentation","Clobetasol, Betamethasone",Prescription
Halobetasol,Ultravate,,,,,,"Psoriasis, eczema, atopic dermatitis (topical)","Skin irritation, burning","Striae, hypopigmentation","Clobetasol, Betamethasone",Prescription
Halofantrine,Halfan,,,,,,Malaria (not commonly used due to safety concerns),"GI upset, dizziness","QT prolongation, arrhythmias","Artemether, Quinine",Prescription
Haloperidol,Haldol,,,,,,"Schizophrenia, acute psychosis, agitation","Sedation, extrapyramidal symptoms","Tardive dyskinesia, neuroleptic malignant syndrome","Olanzapine, Risperidone",Prescription
Halothane,–,,,,,,General anesthesia (volatile agent),"Nausea, vomiting","Hepatotoxicity, malignant hyperthermia","Isoflurane, Sevoflurane",Prescription
Heparin,Hep-Lock,,,,,,"Anticoagulation (prevention of DVT/PE, stroke)","Bleeding, thrombocytopenia","HIT (heparin-induced thrombocytopenia), osteoporosis","Enoxaparin, Warfarin",Prescription
Hydralazine,Apresoline,,,,,,"Hypertension, heart failure","Reflex tachycardia, headache","Lupus-like syndrome, fluid retention","Nitroprusside, Labetalol",Prescription
Hydroxychloroquine,Plaquenil,,,,,,"Malaria, lupus, rheumatoid arthritis","Nausea, diarrhea","Retinopathy, cardiotoxicity","Chloroquine, Methotrexate",Prescription
Ibandronate,Boniva,,,,,,Osteoporosis treatment,"Back pain, indigestion","Hypocalcemia, esophageal ulcers","Alendronate, Risedronate",Prescription
Ibrutinib,Imbruvica,,,,,,"CLL, mantle cell lymphoma, Waldenström’s macroglobulinemia","Diarrhea, fatigue","Bleeding, atrial fibrillation, infection","Acalbrutinib, Idelalisib",Prescription
Idarubicin,Idamycin,,,,,,"Leukemia, lymphoma","Nausea, alopecia","Cardiotoxicity, myelosuppression","Doxorubicin, Epirubicin",Prescription
Imatinib,Gleevec,,,,,,"Chronic myeloid leukemia, gastrointestinal stromal tumors (GIST)","Edema, nausea, fatigue","Liver toxicity, heart failure","Dasatinib, Nilotinib",Prescription
Indomethacin,Indocin,,,,,,"Pain, inflammation (NSAID)","GI upset, headache","Peptic ulcers, GI bleeding","Ibuprofen, Naproxen",Prescription
Infliximab,Remicade,,,,,,"Rheumatoid arthritis, Crohn’s disease, ulcerative colitis, psoriasis","Headache, nausea","Tuberculosis reactivation, demyelinating disease","Etanercept, Adalimumab",Prescription
Ipratropium,Atrovent,,,,,,"COPD, asthma (inhaled bronchodilator)","Dry mouth, cough","Urinary retention, blurred vision","Tiotropium, Albuterol",Prescription
Irinotecan,Camptosar,,,,,,"Cancer treatment (colon, ovarian, small cell lung)","Diarrhea, nausea","Myelosuppression, secondary malignancies","Topotecan, Fluorouracil",Prescription
Isosorbide,Isordil,,,,,,Angina (long-acting nitrate),"Headache, dizziness","Hypotension, reflex tachycardia","Nitroglycerin, Amyl nitrite",Prescription
Ivabradine,Corlanor,,,,,,"Heart failure, angina","Bradycardia, visual disturbances","QT prolongation, atrial fibrillation","Bisoprolol, Carvedilol",Prescription
Ivermectin,Stromectol,,,,,,"Parasitic infections, head lice","Nausea, dizziness","Allergic reactions, seizures","Albendazole, Mebendazole",Prescription
Ketamine,Ketalar,,,,,,"Anesthesia, depression (off-label), pain relief","Drowsiness, nausea","Hallucinations, agitation","Propofol, Etomidate",Prescription
Ketoconazole,Nizoral,,,,,,"Fungal infections, seborrheic dermatitis (topical)","GI upset, headache","Hepatotoxicity, adrenal insufficiency","Fluconazole, Itraconazole",Prescription
Lacosamide,Vimpat,,,,,,"Partial seizures, adjunct therapy for epilepsy","Dizziness, nausea","Cardiac arrhythmias, hepatic dysfunction","Lamotrigine, Levetiracetam",Prescription
Lansoprazole,Prevacid,,,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, diarrhea","Hypomagnesemia, C. difficile colitis","Omeprazole, Pantoprazole",Prescription
Latanoprost,Xalatan,,,,,,Glaucoma (reduces intraocular pressure),"Eye irritation, blurred vision","Conjunctival hyperemia, iris pigmentation","Bimatoprost, Travoprost",Prescription
Levofloxacin,Levaquin,,,,,,"Respiratory tract infections, UTIs, anthrax","Nausea, diarrhea","Tendon rupture, QT prolongation","Ciprofloxacin, Moxifloxacin",Prescription
Linezolid,Zyvox,,,,,,"Gram-positive infections, including MRSA and VRE","Diarrhea, headache","Myelosuppression, optic neuropathy","Vancomycin, Daptomycin",Prescription
Lorazepam,Ativan,,,,,,"Anxiety, insomnia, seizures","Drowsiness, dizziness","Respiratory depression, dependence","Diazepam, Clonazepam",Prescription
Losartan,Cozaar,,,,,,"Hypertension, heart failure","Dizziness, fatigue","Hyperkalemia, angioedema","Valsartan, Olmesartan",Prescription
Lurasidone,Latuda,,,,,,"Schizophrenia, bipolar disorder (depression)","Sedation, weight gain","QT prolongation, neuroleptic malignant syndrome","Olanzapine, Risperidone",Prescription
Macitentan,Opsumit,,,,,,Pulmonary arterial hypertension,"Edema, headache","Anemia, hepatotoxicity","Bosentan, Ambrisentan",Prescription
Magnesium sulfate,–,,,,,,"Eclampsia, preeclampsia, magnesium deficiency","Flushing, sweating","Hypotension, respiratory depression","Calcium gluconate, Potassium chloride",Prescription
Manidipine,Irasin,,,,,,Hypertension,"Edema, dizziness","Tachycardia, flushing","Amlodipine, Felodipine",Prescription
Mafenide acetate,Sulfamylon,,,,,,Topical antibiotic for burn wounds,"Pain, stinging","Metabolic acidosis, rash","Silver sulfadiazine, Mupirocin",Prescription
Magaldrate,Riopan,,,,,,"Antacid (heartburn, indigestion)","Diarrhea, constipation","Hypophosphatemia, aluminum toxicity","Aluminum hydroxide, Calcium carbonate",OTC
Malathion,Ovide,,,,,,Head lice treatment,"Skin irritation, stinging","Eye irritation, allergic reactions","Permethrin, Benzyl alcohol",Prescription
Mepivacaine,Carbocaine,,,,,,Local anesthetic,"Nausea, dizziness","Cardiac arrhythmias, seizures","Lidocaine, Bupivacaine",Prescription
Meperidine,Demerol,,,,,,Moderate to severe pain (opioid analgesic),"Drowsiness, nausea","Seizures, respiratory depression","Morphine, Hydrocodone",Prescription
Meropenem,Merrem,,,,,,Severe bacterial infections (including resistant strains),"Nausea, diarrhea","Seizures, hepatotoxicity","Imipenem, Cefepime",Prescription
Metoclopramide,Reglan,,,,,,"Nausea, vomiting (chemo-induced), gastroparesis","Drowsiness, fatigue","Extrapyramidal symptoms, tardive dyskinesia","Ondansetron, Domperidone",Prescription
Metolazone,Zaroxolyn,,,,,,"Hypertension, edema","Dizziness, hypotension","Electrolyte imbalance, dehydration","Furosemide, Hydrochlorothiazide",Prescription
Methadone,Dolophine,,,,,,"Opioid dependence, severe pain (opioid analgesic)","Drowsiness, constipation","Respiratory depression, QT prolongation","Buprenorphine, Oxycodone",Prescription
Methylthiazole,–,,,,,,Antifungal agent (used in combination for skin infections),"Rash, nausea","Hepatotoxicity, Steven's Johnson syndrome","Terbinafine, Itraconazole",Prescription
Midazolam,Versed,,,,,,"Sedation, anesthesia, seizure treatment","Drowsiness, respiratory depression","Paradoxical agitation, hypotension","Lorazepam, Diazepam",Prescription
Milnacipran,Savella,,,,,,"Fibromyalgia, major depressive disorder (off-label)","Nausea, headache","Increased blood pressure, serotonin syndrome","Duloxetine, Venlafaxine",Prescription
Mirtazapine,Remeron,,,,,,"Depression, anxiety","Weight gain, sedation","Agranulocytosis, serotonin syndrome","Trazodone, Amitriptyline",Prescription
Misoprostol,Cytotec,,,,,,"Prevention of NSAID-induced ulcers, abortion (off-label)","Diarrhea, abdominal cramping","Uterine rupture, hypovolemic shock","Mifepristone, Dinoprostone",Prescription
Nafcillin,Nafcil,,,,,,Serious infections (penicillinase-resistant),"Nausea, rash","Neutropenia, hepatotoxicity","Dicloxacillin, Oxacillin",Prescription
Naloxone,Narcan,,,,,,Opioid overdose (antagonist),"Nausea, vomiting","Withdrawal symptoms, seizures","Naltrexone, Buprenorphine",Prescription
Nebivolol,Bystolic,,,,,,"Hypertension, heart failure","Headache, fatigue","Bradycardia, hypotension","Metoprolol, Carvedilol",Prescription
Netupitant/palonosetron,Akynzeo,,,,,,Chemotherapy-induced nausea and vomiting prevention (combination therapy),"Constipation, fatigue","Hypersensitivity, QT prolongation","Granisetron, Ondansetron",Prescription
Nitazoxanide,Alinia,,,,,,"Giardiasis, cryptosporidiosis","Nausea, abdominal pain","Hepatotoxicity, rash","Metronidazole, Tinidazole",Prescription
Norepinephrine,Levophed,,,,,,"Shock, hypotension","Hypertension, tachycardia","Arrhythmias, tissue necrosis (extravasation)","Epinephrine, Dopamine",Prescription
Norfloxacin,Noroxin,,,,,,"Bacterial infections (UTIs, prostatitis)","Nausea, headache","Tendon rupture, QT prolongation","Ciprofloxacin, Levofloxacin",Prescription
